problem,solver,phi_a,phi_b,status,metric,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,containment_violations,value
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,13,0.05,1.4142135623730951,28.284271247461902,160,122,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,13,0.05,1.4142135623730951,28.284271247461902,160,122,,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,13,0.05,1.4142135623730951,28.284271247461902,160,122,,1.0
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,13,0.1,2.8284271247461903,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,13,0.1,2.8284271247461903,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,overlap,5000,13,0.1,2.8284271247461903,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,13,0.1,2.8284271247461903,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,13,0.1,2.8284271247461903,28.284271247461902,132,122,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,13,0.1,2.8284271247461903,28.284271247461902,132,122,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,13,0.1,2.8284271247461903,28.284271247461902,132,122,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,13,0.1,2.8284271247461903,28.284271247461902,132,122,,1.0
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,13,0.1,2.8284271247461903,28.284271247461902,160,122,,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,13,0.1,2.8284271247461903,28.284271247461902,160,122,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,13,0.1,2.8284271247461903,28.284271247461902,160,122,,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,13,0.1,2.8284271247461903,28.284271247461902,160,122,,1.0
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,13,0.2,5.656854249492381,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,13,0.2,5.656854249492381,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,overlap,5000,13,0.2,5.656854249492381,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,13,0.2,5.656854249492381,28.284271247461902,132,160,,1.0
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,13,0.2,5.656854249492381,28.284271247461902,132,122,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,13,0.2,5.656854249492381,28.284271247461902,132,122,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,13,0.2,5.656854249492381,28.284271247461902,132,122,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,13,0.2,5.656854249492381,28.284271247461902,132,122,,1.0
