# metrics table, written by src/reporting.py, subpart d3. two blocks with
# different columns, and the split is the content and not the layout.
# every value is a median with its interquartile range over the seed count in
# the same row, and every row states the evaluation budget and the
# cardinality it was computed at. no cell is one run.

block,objective_space
# hypervolume, igd and spread are computed on the (k, 2m) rows of one
# phi's image. each phi maps the same problem into a different space on a
# different scale, CONTEXT.md section 5 step 5, so these compare solvers
# under one fixed phi and never rank one phi against another; a ratio
# taken across two phi here is a ratio of volumes in two different spaces
# and means nothing. all three move with the cardinality, r-16, which is
# why every row states the one it was computed at.
problem,phi,solver,metric,n_seeds,n_evals,cardinality,reference_size,sampling_mode,include_singular_segments,hv_reference_rule,hv_reference_point,median,q1,q3,iqr
dtlz2_interval,ls,random_search,spread,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.5007907685579256 0.22000000000000003 3.4340493070053033 0.22000000000000003 3.545658961028175 0.22000000000000003,3.8036130650303814,3.7882291517335753,3.888428699958747,0.10019954822517185
dtlz2_interval,ls,random_search,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.5007907685579256 0.22000000000000003 3.4340493070053033 0.22000000000000003 3.545658961028175 0.22000000000000003,3.660096180209439,3.6367673015608886,3.697824955666314,0.061057654105425296
dtlz2_interval,lu,mopso,hypervolume,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,1020.375839505105,1014.7999826871811,1033.933992588023,19.13400990084199
dtlz2_interval,lu,mopso,hypervolume,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,1013.8089801991026,1006.3570374188062,1014.1206556931413,7.763618274335158
dtlz2_interval,lu,mopso,spread,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,5.611607086198984,5.5170482359491615,5.639295311658254,0.1222470757090921
dtlz2_interval,lu,mopso,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,6.010897488011752,5.9687808199378996,6.096537392868243,0.12775657293034381
dtlz2_interval,lu,nsga2,hypervolume,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,1088.969494588445,1088.1210182181728,1106.081207733653,17.960189515480124
dtlz2_interval,lu,nsga2,hypervolume,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,1096.1812016705474,1094.9515325318507,1103.2263093235445,8.27477679169374
dtlz2_interval,lu,nsga2,spread,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,6.758291694768559,6.692103301127632,7.302227528842415,0.6101242277147838
dtlz2_interval,lu,nsga2,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,6.072379874522743,5.883442495634827,6.124889673792022,0.24144717815719474
dtlz2_interval,lu,random_search,hypervolume,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,1032.537605697567,1020.847147589091,1034.9825894666599,14.135441877568837
dtlz2_interval,lu,random_search,hypervolume,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,999.2007354093741,999.1209917019232,1008.092804385974,8.971812684050747
dtlz2_interval,lu,random_search,spread,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,5.504193278265915,5.367917769648402,5.566381250618138,0.19846348096973543
dtlz2_interval,lu,random_search,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,3.162380442577695 3.216021570905549 3.2501004879900988 3.4597057690557147 3.3119739658596625 3.3063746418216216,5.441622663285555,5.354090553778433,5.475304515532807,0.12121396175437393
zdt1_interval,cw,mopso,hypervolume,5,20000,29,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.1 0.0325 6.740785787815184 0.0325,0.004232552721077566,0.004201587961752292,0.0043265664095070485,0.00012497844775475643
