measurement,structure,problem,phi,eps,column,free_set_size,constant_column,n_evals,seed,defined,value,protected_index
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,1,29,False,5000,30,True,2.860604277665831,2222
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,2,0,False,5000,30,True,0.0,1663
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,2,0,False,5000,30,True,0.0,1663
m-2_overhang,registered_x01,zdt1_interval,ls,0.1,3,29,False,5000,30,True,3.1994399861588954,4706
m-2_overhang,a5b_domination_argument,zdt1_interval,ls,0.1,3,29,False,5000,30,True,3.1994399861588954,4706
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,0,29,False,5000,11,True,3.096458147517026,2164
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,0,29,False,5000,11,True,3.0146216630208027,2164
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,1,29,False,5000,11,True,3.1043524082282867,2731
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,1,29,False,5000,11,True,3.037047860186196,2731
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,2,0,False,5000,11,True,0.0,20
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,2,0,False,5000,11,True,0.0,20
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,3,29,False,5000,11,True,3.2242431884982845,3859
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,3,29,False,5000,11,True,3.2242431884982845,3859
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,0,29,False,5000,12,True,3.1061167794419036,3436
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,0,29,False,5000,12,True,3.10574062133444,3436
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,1,29,False,5000,12,True,3.171789089468382,1006
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,1,29,False,5000,12,True,3.1694794399924158,1006
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,2,0,False,5000,12,True,0.0,3475
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,2,0,False,5000,12,True,0.0,3475
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,3,29,False,5000,12,True,3.310538237674815,127
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,3,29,False,5000,12,True,3.310538237674815,127
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,0,29,False,5000,13,True,3.3969978700080357,110
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,0,29,False,5000,13,True,3.305222990985887,110
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,1,29,False,5000,13,True,2.851510380088723,3878
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,1,29,False,5000,13,True,2.755178443576768,3878
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,2,0,False,5000,13,True,0.0,3879
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,2,0,False,5000,13,True,0.0,3879
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,3,29,False,5000,13,True,2.827864919121936,772
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,3,29,False,5000,13,True,2.827864919121936,772
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,0,29,False,5000,14,True,3.081341345101482,3550
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,0,29,False,5000,14,True,2.9248507337840453,3550
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,1,29,False,5000,14,True,2.7586838500052666,936
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,1,29,False,5000,14,True,2.5714975581629385,936
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,2,0,False,5000,14,True,0.0,1189
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,2,0,False,5000,14,True,0.0,1189
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,3,29,False,5000,14,True,2.983232030694651,2416
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,3,29,False,5000,14,True,2.983232030694651,2416
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,0,29,False,5000,15,True,3.246411769128465,1152
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,0,29,False,5000,15,True,3.200961193103977,1152
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,1,29,False,5000,15,True,3.4227590236392387,740
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,1,29,False,5000,15,True,3.298096229152775,740
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,2,0,False,5000,15,True,0.0,1598
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,2,0,False,5000,15,True,0.0,1598
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,3,29,False,5000,15,True,2.7054777657673226,1029
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,3,29,False,5000,15,True,2.7054777657673226,1029
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,0,29,False,5000,16,True,2.854024774523449,3279
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,0,29,False,5000,16,True,2.844712637115484,3279
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,1,29,False,5000,16,True,3.0376785057459035,416
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,1,29,False,5000,16,True,2.932605583864436,416
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,2,0,False,5000,16,True,0.0,6
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,2,0,False,5000,16,True,0.0,6
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,3,29,False,5000,16,True,3.3004177780309,3633
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,3,29,False,5000,16,True,3.3004177780309,3633
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,0,29,False,5000,17,True,3.396408084355473,2862
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,0,29,False,5000,17,True,3.363676973739116,2862
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,1,29,False,5000,17,True,2.552068072201283,615
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,1,29,False,5000,17,True,2.4779193209829997,615
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,2,0,False,5000,17,True,0.0,90
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,2,0,False,5000,17,True,0.0,90
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,3,29,False,5000,17,True,2.5813003162571664,3699
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,3,29,False,5000,17,True,2.5813003162571664,3699
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,0,29,False,5000,18,True,2.8123117656989836,2146
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,0,29,False,5000,18,True,2.7584563570519247,2146
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,1,29,False,5000,18,True,2.8416199150919508,3902
m-2_overhang,a5b_domination_argument,zdt1_interval,cw,0.1,1,29,False,5000,18,True,2.836879425511906,3902
m-2_overhang,registered_x01,zdt1_interval,cw,0.1,2,0,False,5000,18,True,0.0,2221
